ID,Team,Player,G,GS,MP,FG,FGA,PTS,Plus_minus
1,Boston Celtics,Jayson Tatum,72,72,2624,662,1465,1932,9.2
2,Boston Celtics,Derrick White,76,76,2574,424,959,1248,9.7
3,Boston Celtics,Payton Pritchard,80,3,2271,409,866,1144,8.8
4,Boston Celtics,Jaylen Brown,63,63,2158,518,1118,1398,8.8
5,Boston Celtics,Jrue Holiday,62,62,1896,254,573,686,8.7
6,Boston Celtics,Al Horford,60,42,1659,195,461,538,12.1
7,Boston Celtics,Sam Hauser,71,19,1541,214,474,605,9.7
8,Boston Celtics,Luke Kornet,73,16,1361,187,280,441,14.7
9,Boston Celtics,Kristaps Porzi??is,42,42,1210,277,574,818,5.7
10,Boston Celtics,Neemias Queta,62,6,863,132,203,310,10.1
11,Boston Celtics,Jordan Walsh,52,1,403,30,83,82,3.8
12,Boston Celtics,Baylor Scheierman,31,2,384,39,110,113,5.4
13,Boston Celtics,Xavier Tillman Sr.,33,2,231,13,53,34,-2.4
14,Boston Celtics,Torrey Craig,17,3,201,16,45,46,-0.3
15,Boston Celtics,Drew Peterson,25,1,186,17,41,54,12.7
16,Boston Celtics,Jaden Springer,26,0,141,12,34,45,6.9
17,Boston Celtics,JD Davison,16,0,93,12,34,33,-15.5
18,Boston Celtics,Miles Norris,3,0,35,2,9,7,-21.9
19,NY Knicks,Mikal Bridges,82,82,3036,592,1183,1444,5.6
20,NY Knicks,Josh Hart,77,77,2897,404,770,1051,3.6
21,NY Knicks,OG Anunoby,74,74,2706,489,1027,1332,5.2
22,NY Knicks,Karl-Anthony Towns,72,72,2517,639,1215,1759,6.2
23,NY Knicks,Jalen Brunson,65,65,2301,585,1200,1690,2.1
24,NY Knicks,Miles McBride,64,10,1593,222,547,611,7.5
25,NY Knicks,Precious Achiuwa,57,10,1170,164,327,379,-0.9
26,NY Knicks,Cameron Payne,72,5,1090,179,446,500,9.5
27,NY Knicks,Landry Shamet,50,0,762,106,230,286,6.4
28,NY Knicks,Jericho Sims,39,5,422,28,46,64,4
29,NY Knicks,Tyler Kolek,41,0,296,27,82,81,0.4
30,NY Knicks,Mitchell Robinson,17,3,290,37,56,87,7.1
31,NY Knicks,Delon Wright,14,5,230,23,49,60,-1.3
32,NY Knicks,Ariel Hukporti,25,1,217,21,31,48,-13.4
33,NY Knicks,Pacome Dadiet,18,0,111,10,31,30,-10.2
34,NY Knicks,Matt Ryan,19,0,68,10,31,28,-26.9
35,NY Knicks,P.J. Tucker,3,1,58,3,7,9,-18.8
36,NY Knicks,Jacob Toppin,16,0,49,3,10,6,-13.9
37,NY Knicks,Kevin McCullar Jr.,4,0,29,2,7,6,-3.3
38,NY Knicks,Anton Watson,9,0,22,4,9,8,-26.6
39,NY Knicks,MarJon Beauchamp,6,0,17,5,11,15,-23.3
40,Toronto Raptors,Scottie Barnes,65,65,2134,474,1063,1252,-2.7
41,Toronto Raptors,RJ Barrett,58,58,1869,460,982,1223,-3.4
42,Toronto Raptors,Ochai Agbaji,64,45,1739,266,534,667,-5.7
43,Toronto Raptors,Jakob Poeltl,57,56,1686,363,579,824,-0.5
44,Toronto Raptors,Gradey Dick,54,54,1587,265,647,777,-6.6
45,Toronto Raptors,Jamal Shead,75,11,1467,204,504,533,-7.5
46,Toronto Raptors,Jonathan Mogbo,63,18,1286,156,356,389,-9.3
47,Toronto Raptors,Ja'Kobe Walter,52,18,1103,159,393,449,-3.1
48,Toronto Raptors,Davion Mitchell,44,22,1080,106,244,279,-2.5
49,Toronto Raptors,Jamison Battle,59,10,1042,149,347,419,-8.9
50,Toronto Raptors,Immanuel Quickley,33,33,918,184,438,564,-2
51,Toronto Raptors,Chris Boucher,50,0,862,182,370,502,-0.6
52,Toronto Raptors,Orlando Robinson,35,8,713,109,244,284,-6.4
53,Toronto Raptors,A.J. Lawson,26,2,486,80,190,236,-3.3
54,Toronto Raptors,Kelly Olynyk,24,2,383,59,118,171,-6.2
55,Toronto Raptors,Bruce Brown,18,0,353,57,131,151,-7.6
56,Toronto Raptors,Colin Castleton,11,4,288,32,64,79,-3
57,Toronto Raptors,Garrett Temple,28,0,227,18,60,53,-5.1
58,Toronto Raptors,Jared Rhoden,10,2,215,40,79,114,11.6
59,Toronto Raptors,Cole Swider,8,0,156,22,58,59,8
60,Toronto Raptors,Bruno Fernando,17,2,147,26,49,58,-7.1
61,Toronto Raptors,D.J. Carton,4,0,33,1,7,3,16
62,Toronto Raptors,Ulrich Chomche,7,0,32,2,5,5,-42.5
