"","ID","Team","Team_Rk","Player","Age","Pos","G","GS","MP","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","PER","Plus_minus","NBA_Eff","Win_score","Rank_PER","Rank_plus_minus","UnderratedIndex"
"51",47,"NY Knicks",5,"Jalen Brunson",28,"PG",65,65,2301,9.2,18.8,5.8,7,2.9,7.4,0.9,0.1,2.6,2.2,26.4,21.6,2.1,24.2,7.95,5,45,40
"25",3,"Indiana Pacers",3,"Thomas Bryant",27,"C",56,8,848,6.4,12.4,1.9,2.3,9.3,2.1,1.1,1.4,1.2,2.8,16.5,17.4,-2.6,21.4,12.5,17.5,54.5,37
"34",12,"Indiana Pacers",12,"T.J. McConnell",32,"PG",79,1,1415,8.2,15.9,1.5,2,4.9,8.9,2.1,0.5,2.8,2,18.3,18.4,-1,23.2,9.3,13,50,37
"35",19,"Indiana Pacers",19,"Obi Toppin",26,"PF",79,4,1545,7.4,14,2.1,2.7,7.4,3,1.1,0.7,1.6,2.5,19.4,17.4,-2.6,22.1,11.55,17.5,54.5,37
"53",7,"Indiana Pacers",7,"Tyrese Haliburton",24,"PG",73,73,2451,7,14.8,2.8,3.3,3.8,9.9,1.5,0.7,1.8,1.4,20,21.8,3.3,25.1,11.65,4,39,35
"8",31,"Minnesota Timberwolves",9,"Luka Garza",26,"C",39,0,219,8.5,17.3,3.9,5.8,8.9,1.8,1,0.5,2,4.8,22.7,18.8,2.4,21.7,9.15,12,44,32
"11",37,"Minnesota Timberwolves",15,"Josh Minott",22,"SF",46,0,276,5.7,11.7,2.2,2.5,6.1,2.3,2,1.6,1.4,4.4,15.5,15.5,-1.2,18.2,9,25,51,26
"59",29,"Minnesota Timberwolves",7,"Anthony Edwards",23,"SG",79,79,2871,9,20.2,5.2,6.2,5.6,4.5,1.1,0.6,3.1,1.9,27.3,20.1,4.7,23.2,9.2,8,32,24
"54",60,"NY Knicks",18,"Karl-Anthony Towns",29,"C",72,72,2517,9.1,17.4,4.8,5.8,13.2,3.2,1,0.7,2.7,3.6,25.2,23.4,6.2,30.6,16.55,2,25.5,23.5
"49",40,"Minnesota Timberwolves",18,"Julius Randle",30,"PF",69,69,2226,7.4,15.2,4.4,5.4,7.9,5.2,0.8,0.3,3.2,2.8,20.8,17.5,3.4,22.7,9.75,16,38,22
"16",9,"Indiana Pacers",9,"Quenton Jackson",26,"PG",28,7,381,5.5,11.5,2.9,3.8,4.2,5,2,0.5,1.5,4.1,15.3,14.7,0.7,18.1,7.3,27,47,20
"60",49,"NY Knicks",7,"Josh Hart",29,"SG",77,77,2897,5,9.6,2,2.5,9.2,5.6,1.5,0.3,2,2.5,13.1,16.5,3.6,22.3,12.65,19,37,18
"31",43,"NY Knicks",1,"Precious Achiuwa",25,"C",57,10,1170,5,10.1,1.3,2.1,9.8,1.7,1.4,1.3,1.4,2.5,11.7,13.6,-0.9,17.3,10.6,34.5,49,14.5
"55",18,"Indiana Pacers",18,"Pascal Siakam",30,"PF",78,78,2548,8.7,16.7,3.2,4.4,7.6,3.7,1,0.6,1.5,2.7,22.3,19.2,6.3,23.9,11.3,9.5,24,14.5
"9",63,"NY Knicks",21,"Delon Wright",32,"PG",14,5,230,3.6,7.7,0.9,1.4,3.1,4.5,1.9,0.5,1.3,1.3,9.4,12.4,-1.3,13,6.55,39,52.5,13.5
"32",21,"Indiana Pacers",21,"Jarace Walker",21,"PF",75,5,1187,5.2,10.9,1.4,2.1,6.9,3.3,1.6,0.8,2.4,3.5,14,11.9,-5.4,17,8.45,43.5,57,13.5
"47",20,"Indiana Pacers",20,"Myles Turner",28,"C",72,72,2174,6.5,13.4,3,3.9,7.8,1.8,0.9,2.4,2,3,18.5,16.1,3.9,19.2,10.45,21.5,35,13.5
"12",55,"NY Knicks",13,"Mitchell Robinson",26,"C",17,3,290,4.6,7,1.6,2.4,12.5,1.6,2,2.2,1.2,3.2,10.8,20.4,7.1,22.5,16.2,6,18.5,12.5
"4",68,"OKC Thunder",5,"Alex Ducas",24,"SG",21,0,125,3.5,8.6,0.6,0.6,7.5,1.4,1.4,0,1.2,3.5,10.4,10.1,-6.5,14.4,8.15,51,59,8
"52",32,"Minnesota Timberwolves",10,"Rudy Gobert",32,"C",72,72,2388,5.1,7.7,2.8,4.1,11.8,1.9,0.8,1.6,1.3,2.7,13.1,18.3,6.7,22.4,15.05,14,21.5,7.5
"46",11,"Indiana Pacers",11,"Bennedict Mathurin",22,"SF",72,49,2149,6.6,14.3,4.6,5.6,6.4,2.3,0.8,0.4,2.3,2.7,19.4,13.6,2.8,17.9,7.2,34.5,41,6.5
"50",80,"OKC Thunder",17,"Jalen Williams",23,"SG",69,69,2237,9.1,18.8,3.8,4.8,5.9,5.7,1.8,0.7,2.4,2.5,24,20.3,9.7,24.3,10.05,7,13,6
"58",44,"NY Knicks",2,"OG Anunoby",27,"PF",74,74,2706,6.5,13.7,2.4,3,4.8,2.2,1.5,0.9,1.4,2.3,17.7,15.4,5.2,17,7.8,26,31,5
"7",50,"NY Knicks",8,"Ariel Hukporti",22,"C",25,1,217,3.5,5.1,1,2.2,8.5,1.8,0.2,2.5,3.5,5.3,8,7.6,-13.4,12.2,6.5,57,61,4
"56",70,"OKC Thunder",7,"Shai Gilgeous-Alexander",26,"PG",76,76,2598,11.9,22.9,8.3,9.3,5.3,6.7,1.8,1.1,2.5,2.3,34.4,30.7,16.9,33.7,14.2,1,3,2
"1",48,"NY Knicks",6,"Pacome Dadiet",19,"SG",18,0,111,3.2,10.1,1.3,1.9,5.8,1.6,1,0.6,1.3,2.3,9.7,6.3,-10.2,9.3,4.1,59,60,1
"10",64,"OKC Thunder",1,"Branden Carlson",25,"C",32,0,246,6.3,14.2,2,2.6,7.9,2,0.7,3.1,1,3.2,17.9,17.6,7.8,19,10.95,15,16,1
"5",5,"Indiana Pacers",5,"Enrique Freeman",24,"PF",22,1,181,3.2,7.4,2.6,3.8,6,1.8,0.6,0.6,1.2,4.2,9.1,7.4,-6,10.9,4.3,58,58,0
"57",35,"Minnesota Timberwolves",13,"Jaden McDaniels",24,"PF",82,82,2614,5.5,11.5,1.4,1.8,6.5,2.2,1.5,1,1.3,3.1,13.8,13.3,3.7,16.3,8.15,36.5,36,-0.5
"2",1,"Indiana Pacers",1,"Tony Bradley",27,"C",14,0,113,9.2,14.3,0.6,1.9,13.4,1.9,0.6,2.9,1.6,3.5,19.4,23.2,18.1,27.3,17.2,3,2,-1
"13",51,"NY Knicks",9,"Tyler Kolek",23,"PG",41,0,296,3.3,10,1.6,2.1,3.3,8.5,1.5,0.5,2.2,3.2,9.9,10.3,0.4,13.8,4.35,49,48,-1
"14",42,"Minnesota Timberwolves",20,"Terrence Shannon Jr.",24,"SG",32,1,339,5.8,12.1,1.8,2.2,5,3.4,0.7,0.5,1.6,2.9,14.7,11.9,2.6,15.5,6.1,43.5,42.5,-1
"36",71,"OKC Thunder",8,"Isaiah Hartenstein",26,"C",57,53,1590,6.3,10.9,1.8,2.6,13.8,5,1.1,1.4,2.2,3.9,14.4,18.9,12.6,26.7,16.15,11,10,-1
"39",27,"Minnesota Timberwolves",5,"Donte DiVincenzo",28,"SG",62,10,1606,5.6,13.3,1.1,1.4,5.1,5,1.6,0.4,2.2,2.6,16.2,14.1,6,17.7,8.1,29,27.5,-1.5
"61",46,"NY Knicks",4,"Mikal Bridges",28,"SF",82,82,3036,7,14,1.1,1.4,3.1,3.6,0.9,0.5,1.6,1.5,17.1,14,5.6,15.8,6.1,30.5,29,-1.5
"33",17,"Indiana Pacers",17,"Ben Sheppard",23,"SG",63,9,1228,3.5,8.4,0.7,0.8,5.2,2.5,1.1,0.4,0.6,3.7,9.7,9.2,-1.3,12.9,6.2,55,52.5,-2.5
"19",26,"Minnesota Timberwolves",4,"Rob Dillingham",20,"PG",49,1,516,6.5,14.7,0.6,1,3.5,6.8,1.4,0.1,3.7,2.6,15.3,10.2,1.8,14.7,3.45,50,46,-4
"3",34,"Minnesota Timberwolves",12,"Joe Ingles",37,"SF",19,1,114,1.9,7.3,0,0,3.5,7.3,0.6,0,2.8,3.8,4.7,2.4,-5,7.9,0.45,61,56,-5
"26",72,"OKC Thunder",9,"Chet Holmgren",22,"C",32,32,877,6.9,14,4.1,5.5,10.5,2.6,0.9,2.9,2.3,3,19.7,19.2,16.3,22.9,13.3,9.5,4,-5.5
"48",41,"Minnesota Timberwolves",19,"Naz Reid",25,"C",80,17,2200,7,15.1,1.8,2.3,7.9,3,0.9,1.2,1.8,3.1,18.6,15.8,7.1,20,9.9,24,18.5,-5.5
"20",24,"Minnesota Timberwolves",2,"Jaylen Clark",23,"SG",40,4,522,3.9,8.3,2,2.6,3.7,1.8,2.5,0.1,0.6,4.2,11.2,12,4.6,13.6,6.05,41.5,33,-8.5
"15",6,"Indiana Pacers",6,"Johnny Furphy",20,"SG",50,0,379,3.3,8.7,1.7,2.1,6.7,1.8,1.7,1,1.1,3.9,9.8,9.8,2.6,13.1,6.8,53,42.5,-10.5
"41",25,"Minnesota Timberwolves",3,"Mike Conley",37,"PG",71,64,1756,3.8,9.6,1.7,1.8,3.7,6.5,1.6,0.3,1.5,2.3,11.9,13.3,6.2,16.3,7.45,36.5,25.5,-11
"29",14,"Indiana Pacers",14,"Aaron Nesmith",25,"SF",45,37,1123,6.2,12.1,2.3,2.6,5.7,1.7,1.1,0.5,1.2,3.7,17.3,14.6,9.1,18.4,8.75,28,15,-13
"40",79,"OKC Thunder",16,"Aaron Wiggins",26,"SG",76,26,1744,7.3,15,1.5,1.8,6.1,2.8,1.2,0.4,1.4,2.1,18.9,16.1,14.1,19.6,9.45,21.5,8,-13.5
"43",13,"Indiana Pacers",13,"Andrew Nembhard",25,"SG",65,65,1881,4.7,10.3,2.1,2.6,4.1,6.2,1.5,0.2,2.1,2.9,12.5,11.7,5.3,16.1,6.15,45,30,-15
"27",65,"OKC Thunder",2,"Alex Caruso",30,"SG",54,3,1041,4.8,10.9,1.5,1.8,5.5,4.7,3,1,1.3,3.5,13.2,15.9,15.2,18.7,9.7,23,6,-17
"18",58,"NY Knicks",16,"Jericho Sims",26,"C",39,5,422,2.4,3.9,0.7,1.1,11,1.9,0.7,0.9,1.8,3.9,5.5,9.9,4,15.4,10.4,52,34,-18
"28",54,"NY Knicks",12,"Cameron Payne",30,"PG",72,5,1090,5.9,14.7,1.6,1.8,3.4,6.7,1.3,0.5,1.7,3.7,16.5,13.8,9.5,17.2,5.65,32,14,-18
"24",81,"OKC Thunder",18,"Jaylin Williams",22,"PF",47,9,784,4.5,10.1,1.1,1.4,12,5.5,1,1.3,1.6,3.6,12.8,16.4,18.8,23.8,15,20,1,-19
"17",66,"OKC Thunder",3,"Ousmane Dieng",21,"C",37,1,405,4.8,11.1,1,1.4,7.2,2.8,1.5,0.6,1.6,2.9,12.6,11.5,6,15.8,8.15,47,27.5,-19.5
"6",69,"OKC Thunder",6,"Adam Flagler",25,"SG",37,0,203,4.4,17,0.2,0.4,4.8,2.1,1.4,0.5,0.7,2.7,11.5,3.7,3,6.3,-0.25,60,40,-20
"37",52,"NY Knicks",10,"Miles McBride",24,"PG",64,10,1593,5,12.4,1.2,1.4,3.6,4.2,1.5,0.4,0.9,2.4,13.8,12.6,7.5,14.6,6,38,17,-21
"44",23,"Minnesota Timberwolves",1,"Nickeil Alexander-Walker",26,"SG",82,10,2073,4.7,10.7,1.6,2,4.6,3.9,0.9,0.6,1.7,2.4,13.4,11.6,6.7,14.7,6.55,46,21.5,-24.5
"38",73,"OKC Thunder",10,"Isaiah Joe",25,"SG",74,16,1604,5.8,13.2,1,1.3,4.4,2.7,1.1,0.2,0.9,2.5,17,14,15.5,16.6,7.95,30.5,5,-25.5
"30",82,"OKC Thunder",19,"Kenrich Williams",30,"PF",69,7,1132,5.4,11.3,0.9,1.2,7.7,3.1,1.4,0.3,1.2,3.5,13.9,13.7,15.1,18.7,9.85,33,7,-26
"42",78,"OKC Thunder",15,"Cason Wallace",21,"SG",68,43,1876,4.5,9.4,0.6,0.7,4.4,3.3,2.3,0.7,1.1,2.8,10.9,12.3,10.6,14.8,7.35,40,11,-29
"22",76,"OKC Thunder",13,"Ajay Mitchell",22,"SG",36,1,597,5.5,11.1,1.7,2.1,4.1,3.9,1.5,0.2,1.7,4.1,14.1,12,10,15.9,5.85,41.5,12,-29.5
"23",57,"NY Knicks",15,"Landry Shamet",27,"SG",50,0,762,5,10.9,0.6,0.9,2.9,1.3,1.1,0.1,1,2.5,13.5,9.7,6.4,11.6,4.6,54,23,-31
"21",74,"OKC Thunder",11,"Dillon Jones",23,"SF",54,3,551,3.3,8.7,1.1,1.8,7.9,3.8,1,0.3,1.8,3.5,8.8,8.1,7,13.6,6.6,56,20,-36
"45",67,"OKC Thunder",4,"Luguentz Dort",25,"SF",71,71,2073,4.5,10.3,0.6,0.8,5.1,2,1.4,0.7,0.9,3.6,12.5,11.3,13.5,14.1,6.95,48,9,-39
